from,to,condition,sheet
黄金V龙兽,大师V龙兽,& 红色V龙兽 合体进化：1个数码合体芯片 等级≥ 90 巨龙经验≥ 73000,装甲体进化路线
V仔兽,玛格纳兽,等级≥ 75 携带磨损的奇迹数码精神 7个进化器,装甲体进化路线
犰狳兽,大象兽,等级≥ 75 携带磨损的奇迹数码精神 8个进化器,装甲体进化路线
音速狮子兽,长蘑菇的音速狮子兽,& 8只钻头鼹鼠兽 合体进化：1个数码组合芯片 携带深渊松露 植物经验≥ 80000,无等级进化路线
疯狂狮子兽,疯狂狮子兽：大蛇形态,& 大蛇兽 合体进化：1个数码组合芯片 等级≥ 82 拥有过疯狂狮子兽：武装形态,无等级进化路线
疯狂狮子兽,疯狂狮子兽：最终形态,& 3只哈努兽 合体进化：1个数码组合芯片 等级≥ 85 拥有过疯狂狮子兽：大蛇形态,无等级进化路线
巴达兽,巴达麻雀兽,& 麻雀兽 合体进化：1个数码组合芯片 等级≥ 20,无等级进化路线
高吼兽（王）,金属高吼兽,& 金属巨龙兽 合体进化：1个数码组合芯片 等级≥ 70 巨龙经验≥ 35000 机械经验≥ 20000,无等级进化路线
不行兽,巨型破坏不行兽,& 巨型破坏龙兽（紫） 合体进化：1个数码组合芯片 等级≥ 90 机械经验≥ 190000,无等级进化路线
奥加兽,恶鬼梅尔瓦兽,& 梅尔瓦兽 合体进化：1个数码组合芯片 等级≥ 95 友情≥ 5♥ 黑暗经验≥ 120000,无等级进化路线
麻鹰兽,巨龙兽,& 基尔兽 合体进化：1个数码合体芯片 等级≥ 12,合体进化路线
暴龙兽,暴龙兽（合体战争）,& 大师巨龙兽 合体进化：1个数码合体芯片 等级≥ 23,合体进化路线
雪人亚古兽,V仔兽EX,& 多路兽 合体进化：1个数码合体芯片 等级≥ 20,合体进化路线
巫师兽,幻影兽,& 黄蜂兽 合体进化：1个数码合体芯片 等级≥ 46,合体进化路线
裂破兽,大古拉兽,& 德尔塔兽 合体进化：1个数码合体芯片 等级≥ 45,合体进化路线
大地暴龙兽,朱红兽,& 战甲兽 合体进化：1个数码合体芯片 等级≥ 42,合体进化路线
巨龙兽,天翔V龙兽,& 飞龙兽 合体进化：1个数码合体芯片 等级≥ 50,合体进化路线
巴多拉兽,天翔V龙兽,& 刃王哈克兽 合体进化：1个数码合体芯片 等级≥ 45,合体进化路线
蛇鸡兽,百万龙兽,& 锹形虫兽 合体进化：1个数码合体芯片 等级≥ 45,合体进化路线
核龙兽（蓝）,地龙兽,& 海狮兽 合体进化：1个数码合体芯片 等级≥ 43,合体进化路线
守卫机器人兽,拉比兽,& 加奥加兽 合体进化：1个数码合体芯片 等级≥ 48,合体进化路线
海狮兽,奇虾兽,& 墨鱼兽 合体进化：1个数码合体芯片 等级≥ 38 水生经验≥ 6500,合体进化路线
风灾兽,猿猴兽,& 冰河兽 合体进化：1个数码合体芯片 等级≥ 40,合体进化路线
恶魔兽,光明兽：堕落形态,& 天使兽 合体进化：1个数码合体芯片 等级≥ 65,合体进化路线
迪路兽,人面战鹰兽,& 天鹰兽 合体进化：1个数码合体芯片 等级≥ 50,合体进化路线
蜻蜓兽,腕龙兽,& 沙地蜻蜓兽 合体进化：1个数码合体芯片 等级≥ 45,合体进化路线
猿猴兽,暗龙兽,& 百万龙兽 合体进化：1个数码合体芯片 等级≥ 80 黑暗经验≥ 29500,合体进化路线
大古拉兽,圣加鲁哥兽,& 数码蛋兽 合体进化：1个数码合体芯片 等级≥ 80 机械经验≥ 45000,合体进化路线
三角龙兽,剑狮兽,& 豆豆兽 合体进化：1个数码合体芯片 等级≥ 80 野兽经验≥ 45000,合体进化路线
天女兽,瓦尔基里兽,& 华丽兽 合体进化：1个数码合体芯片 等级≥ 77 胜率≥ 99%,合体进化路线
超级明星兽,海天使兽,& 熊仔兽 合体进化：1个数码合体芯片 等级≥ 82 水生经验≥ 39000,合体进化路线
巨龙数码蛋,黑球兽,属性数码蛋孵化,数码蛋进化路线
巨龙数码蛋,小龙兽,属性数码蛋孵化,数码蛋进化路线
巨龙数码蛋,芝高兽,属性数码蛋孵化,数码蛋进化路线
巨龙数码蛋,沙砾兽,属性数码蛋孵化,数码蛋进化路线
海兽数码蛋,漂游兽,属性数码蛋孵化,数码蛋进化路线
海兽数码蛋,比兹兽,属性数码蛋孵化,数码蛋进化路线
野兽数码蛋,普尼兽,属性数码蛋孵化,数码蛋进化路线
野兽数码蛋,粒粒兽,属性数码蛋孵化,数码蛋进化路线
野兽数码蛋,果冻兽,属性数码蛋孵化,数码蛋进化路线
野兽数码蛋,多多兽,属性数码蛋孵化,数码蛋进化路线
野兽数码蛋,狐狐兽,属性数码蛋孵化,数码蛋进化路线
昆虫数码蛋,绿叶兽,属性数码蛋孵化,数码蛋进化路线
昆虫数码蛋,泡泡兽,属性数码蛋孵化,数码蛋进化路线
鸟类数码蛋,普路路兽,属性数码蛋孵化,数码蛋进化路线
鸟类数码蛋,普瓦兽,属性数码蛋孵化,数码蛋进化路线
机械数码蛋,电鼠兽,属性数码蛋孵化,数码蛋进化路线
黑暗数码蛋,水母兽,属性数码蛋孵化,数码蛋进化路线
神圣数码蛋,小天使兽,属性数码蛋孵化,数码蛋进化路线
植物数码蛋,纽奇兽,属性数码蛋孵化,数码蛋进化路线
植物数码蛋,浮球兽,属性数码蛋孵化,数码蛋进化路线
海兽数码蛋,雪球兽,属性数码蛋孵化,数码蛋进化路线
机械数码蛋,狡诈兽,属性数码蛋孵化,数码蛋进化路线
机械数码蛋,烟云兽,属性数码蛋孵化,数码蛋进化路线
黑暗数码蛋,可可兽,属性数码蛋孵化,数码蛋进化路线
强化黑暗数码蛋,巧克力兽,地下城孵化器概率获得,数码蛋进化路线
